key,name,iata-code,website,type,foundation,email,phone-number
# Base entity
airline-01,Lorem ipsum dolor sit ame,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
# name - standard variations
airline-01,L,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,Lo,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,"Lorem ipsum dolor sit amet, consectetur adipiscin",ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,"Lorem ipsum dolor sit amet, consectetur adipiscing",ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,โลเร็ม อิปซัม,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,لوريم إيبسوم,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,洛伦·伊普森,ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,"<marquee>Hacked</marquee>",ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,"<script>alert(‘Hacked!’);</script>",ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,"' or 'A' = 'A ",ESP,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
# name - no singular values
# iata-code - standard variations / singular values
airline-01,Lorem ipsum dolor sit ame,AAA,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,Lorem ipsum dolor sit ame,ZZZ,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,Lorem ipsum dolor sit ame,MVG,http://lorem.com/ipsum,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
# website - standard variations
airline-01,Lorem ipsum dolor sit ame,ESP,ftp://a,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,Lorem ipsum dolor sit ame,ESP,ftp://a.b,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
airline-01,Lorem ipsum dolor sit ame,ESP,http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,STANDARD,02/07/2012 0:00,acme@lorem-ipsum.org,78657687
